REF_DATE,GEO,Participation Rate_SCALAR_FACTOR,Population_SCALAR_FACTOR,Unemployment Rate_SCALAR_FACTOR,Participation Rate,Population,Unemployment Rate,Year
2017-09,Canada,units,thousands,units,65.9,29859.2,6.2,2017
2017-09,Manitoba,units,thousands,units,67.5,1017.6,5.4,2017
2017-09,New Brunswick,units,thousands,units,61.5,634.0,8.0,2017
2017-09,Newfoundland and Labrador,units,thousands,units,58.8,447.6,15.4,2017
2017-09,Nova Scotia,units,thousands,units,62.2,789.8,8.9,2017
2017-09,Ontario,units,thousands,units,65.3,11651.7,5.9,2017
2017-09,Prince Edward Island,units,thousands,units,66.8,124.7,10.4,2017
2017-09,Quebec,units,thousands,units,65.1,6860.0,5.9,2017
2017-09,Saskatchewan,units,thousands,units,68.9,871.1,6.2,2017
2017-01,Alberta,units,thousands,units,72.6,3332.6,8.5,2017
2017-01,British Columbia,units,thousands,units,65.9,4056.8,5.6,2017
2017-01,Canada,units,thousands,units,66.1,29579.4,6.8,2017
2017-01,Manitoba,units,thousands,units,67.5,1007.0,5.9,2017
2017-01,New Brunswick,units,thousands,units,62.5,631.7,8.6,2017
2017-01,Newfoundland and Labrador,units,thousands,units,59.7,448.1,14.6,2017
2017-01,Nova Scotia,units,thousands,units,62.2,784.6,8.1,2017
2017-01,Ontario,units,thousands,units,65.4,11518.7,6.5,2017
2017-01,Prince Edward Island,units,thousands,units,67.3,122.6,9.5,2017
2017-01,Quebec,units,thousands,units,64.8,6812.4,6.3,2017
2017-01,Saskatchewan,units,thousands,units,69.5,864.9,6.7,2017
2017-02,Alberta,units,thousands,units,72.4,3335.7,8.1,2017
2017-02,British Columbia,units,thousands,units,65.8,4061.4,5.4,2017
2017-02,Canada,units,thousands,units,66.0,29605.0,6.6,2017
2017-02,Manitoba,units,thousands,units,67.6,1008.0,5.8,2017
2017-02,New Brunswick,units,thousands,units,62.3,631.8,8.6,2017
2017-02,Newfoundland and Labrador,units,thousands,units,59.5,448.0,14.8,2017
2017-02,Nova Scotia,units,thousands,units,62.0,785.1,8.4,2017
2017-02,Ontario,units,thousands,units,65.3,11530.6,6.3,2017
2017-02,Prince Edward Island,units,thousands,units,67.4,122.8,10.1,2017
2017-02,Quebec,units,thousands,units,64.8,6815.9,6.3,2017
2017-02,Saskatchewan,units,thousands,units,69.9,865.6,6.1,2017
2017-03,Alberta,units,thousands,units,72.7,3339.0,8.6,2017
2017-03,British Columbia,units,thousands,units,66.1,4066.8,5.6,2017
2017-03,Canada,units,thousands,units,66.1,29635.7,6.7,2017
2017-03,Manitoba,units,thousands,units,67.6,1009.4,5.7,2017
2017-03,New Brunswick,units,thousands,units,62.2,632.0,8.5,2017
2017-03,Newfoundland and Labrador,units,thousands,units,59.9,447.9,15.5,2017
2017-03,Nova Scotia,units,thousands,units,62.6,785.7,9.1,2017
2017-03,Ontario,units,thousands,units,65.2,11544.9,6.4,2017
2017-03,Prince Edward Island,units,thousands,units,67.2,123.1,9.8,2017
2017-03,Quebec,units,thousands,units,64.7,6820.6,6.0,2017
